,USERID,DS1,DS2,DS3,DS4,DS5,DS7,DS8,DS9,DS10,DS11,DS12,DS13,DS14,DS15,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,B59,B60,B61,B62,B63,B64,B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83,B84,B85,B86,B87,B88,B89,B90,B91,B92,B93,B94,B95,B96,B97,B98,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100,F101,F102,F103,F104,F105,F106,F107,F108,F109,F110,F111,F112,F113,F114,F115,F116,F117,F118,F119,MacroTotal,DiffMacroAndActual
0,1,4/13/2022,2,m1,5:45:00 PM,3,1,0,0,0,0,1,5,0,4,88.5,377.305,19.812,8.2488,313.105,43.1623,3.1795,18.0245,7.9263,163.555,125.665,16,0.3,6.7,16,2,2,0,21,3,180,65,29.95029586,0,0,3,0,0,0,0,1,0,0,4,1,0,0,4,2,1,1,1,1,0,1,4,2,1,2,2,7,5,0,0,1,3,2,1,1,3,0,1,1,3,1,3,4,2,2,2,0,0,0,0,0,4,40,6,105,6,0,3,3,5,4,3,3,4,1,4,3,4,3,2,3,2,3,5,2,4,5,3,1,5,2,6,2,3,5,1,4,0,5,5,7,3,4,6,4,5,7,4,7,6,1,1,1,2.5,5,4,3,3,5,4,3,4,5,5,1,4,4,2,2,4,2,"I think it was very helpful to see the breakdown of the foods I was eating. Specifically it helped me realize that I often don't eat enough protein in my protein:carb:fat ratio. I also found it easy to add food, especially if what I was eating had a barcode.","I would enhance the exercise feature or perhaps add a way to sync data tracked on fitness watches. Sometimes if I added walking for example. I would write â€œa 2 mile walkâ€ and it would automatically compute it to 40 minutes which isnâ€™t accurate. It would be helpful to be able to put the mileage, pace and time of your walk/run. Additionally the app wasnâ€™t too helpful in tracking other exercises. So again, I think it would be useful to be able to export or write in your data instead of only being able to name the exercise completed. ",,4,5,3,5,2,3,3,4,3,4,5,2,4,4,4,4,4,3,1,1,1,3,3,4,4,4,1,10,1,0,0,0,4,3,1,0,0,5,2,1,1,1,3,0,,3,30,5,60,6,45,5,4,5,3,3,3,4,3,1,2,4,5,2,1,4,4,3,3,3,3,2,1,6,3,3,3,4,3,4,1,3,3,7,4,3,6,5,5,5,3,4,6,180,382.6624,5.3574
1,1,4/13/2022,2,m2,9:40:00 PM,5,1,0,0,0,0,2,3,2,5,367.25,599.03178,34.40398,7.26697,336.86758,50.18035,9.71593,6.9408,25.94335,1254.66633,346.92015,113.7,121.2,9.2,19.1,2,2,0,21,3,180,65,29.95029586,0,0,3,0,0,0,0,1,0,0,4,1,0,0,4,2,1,1,1,1,0,1,4,2,1,2,2,7,5,0,0,1,3,2,1,1,3,0,1,1,3,1,3,4,2,2,2,0,0,0,0,0,4,40,6,105,6,0,3,3,5,4,3,3,4,1,4,3,4,3,2,3,2,3,5,2,4,5,3,1,5,2,6,2,3,5,1,4,0,5,5,7,3,4,6,4,5,7,4,7,6,1,1,1,2.5,5,4,3,3,5,4,3,4,5,5,1,4,4,2,2,4,2,"I think it was very helpful to see the breakdown of the foods I was eating. Specifically it helped me realize that I often don't eat enough protein in my protein:carb:fat ratio. I also found it easy to add food, especially if what I was eating had a barcode.","I would enhance the exercise feature or perhaps add a way to sync data tracked on fitness watches. Sometimes if I added walking for example. I would write â€œa 2 mile walkâ€ and it would automatically compute it to 40 minutes which isnâ€™t accurate. It would be helpful to be able to put the mileage, pace and time of your walk/run. Additionally the app wasnâ€™t too helpful in tracking other exercises. So again, I think it would be useful to be able to export or write in your data instead of only being able to name the exercise completed. ",,4,5,3,5,2,3,3,4,3,4,5,2,4,4,4,4,4,3,1,1,1,3,3,4,4,4,1,10,1,0,0,0,4,3,1,0,0,5,2,1,1,1,3,0,,3,30,5,60,6,45,5,4,5,3,3,3,4,3,1,2,4,5,2,1,4,4,3,3,3,3,2,1,6,3,3,3,4,3,4,1,3,3,7,4,3,6,5,5,5,3,4,6,180,614.13062,15.09884
2,1,4/14/2022,3,m1,5:20:00 PM,4,9,5,9,0,0,3,5,2,2,28,106.7255,4.5525,3.905,66.5105,15.2821,1.2394,11.8609,1.6754,96.4447,48.8504,1.1,0.9,4.9,2.6,2,2,0,21,3,180,65,29.95029586,0,0,3,0,0,0,0,1,0,0,4,1,0,0,4,2,1,1,1,1,0,1,4,2,1,2,2,7,5,0,0,1,3,2,1,1,3,0,1,1,3,1,3,4,2,2,2,0,0,0,0,0,4,40,6,105,6,0,3,3,5,4,3,3,4,1,4,3,4,3,2,3,2,3,5,2,4,5,3,1,5,2,6,2,3,5,1,4,0,5,5,7,3,4,6,4,5,7,4,7,6,1,1,1,2.5,5,4,3,3,5,4,3,4,5,5,1,4,4,2,2,4,2,"I think it was very helpful to see the breakdown of the foods I was eating. Specifically it helped me realize that I often don't eat enough protein in my protein:carb:fat ratio. I also found it easy to add food, especially if what I was eating had a barcode.","I would enhance the exercise feature or perhaps add a way to sync data tracked on fitness watches. Sometimes if I added walking for example. I would write â€œa 2 mile walkâ€ and it would automatically compute it to 40 minutes which isnâ€™t accurate. It would be helpful to be able to put the mileage, pace and time of your walk/run. Additionally the app wasnâ€™t too helpful in tracking other exercises. So again, I think it would be useful to be able to export or write in your data instead of only being able to name the exercise completed. ",,4,5,3,5,2,3,3,4,3,4,5,2,4,4,4,4,4,3,1,1,1,3,3,4,4,4,1,10,1,0,0,0,4,3,1,0,0,5,2,1,1,1,3,0,,3,30,5,60,6,45,5,4,5,3,3,3,4,3,1,2,4,5,2,1,4,4,3,3,3,3,2,1,6,3,3,3,4,3,4,1,3,3,7,4,3,6,5,5,5,3,4,6,180,108.8025,2.077
3,1,4/14/2022,3,m2,6:35:00 PM,5,1,0,0,0,0,1,5,0,6,464.73,767.2123,49.3439,7.3602,817.5209,71.9298,8.2605,19.4149,11.9813,679.235,198.9539,113.7,139,15.4,35.5,2,2,0,21,3,180,65,29.95029586,0,0,3,0,0,0,0,1,0,0,4,1,0,0,4,2,1,1,1,1,0,1,4,2,1,2,2,7,5,0,0,1,3,2,1,1,3,0,1,1,3,1,3,4,2,2,2,0,0,0,0,0,4,40,6,105,6,0,3,3,5,4,3,3,4,1,4,3,4,3,2,3,2,3,5,2,4,5,3,1,5,2,6,2,3,5,1,4,0,5,5,7,3,4,6,4,5,7,4,7,6,1,1,1,2.5,5,4,3,3,5,4,3,4,5,5,1,4,4,2,2,4,2,"I think it was very helpful to see the breakdown of the foods I was eating. Specifically it helped me realize that I often don't eat enough protein in my protein:carb:fat ratio. I also found it easy to add food, especially if what I was eating had a barcode.","I would enhance the exercise feature or perhaps add a way to sync data tracked on fitness watches. Sometimes if I added walking for example. I would write â€œa 2 mile walkâ€ and it would automatically compute it to 40 minutes which isnâ€™t accurate. It would be helpful to be able to put the mileage, pace and time of your walk/run. Additionally the app wasnâ€™t too helpful in tracking other exercises. So again, I think it would be useful to be able to export or write in your data instead of only being able to name the exercise completed. ",,4,5,3,5,2,3,3,4,3,4,5,2,4,4,4,4,4,3,1,1,1,3,3,4,4,4,1,10,1,0,0,0,4,3,1,0,0,5,2,1,1,1,3,0,,3,30,5,60,6,45,5,4,5,3,3,3,4,3,1,2,4,5,2,1,4,4,3,3,3,3,2,1,6,3,3,3,4,3,4,1,3,3,7,4,3,6,5,5,5,3,4,6,180,779.7395,12.5272
4,1,4/14/2022,3,m3,9:36:00 PM,6,1,1,1,0,0,3,4,1,4,0,160,0,0,10,25,0,10,0,0,0,0,0,0,0,2,2,0,21,3,180,65,29.95029586,0,0,3,0,0,0,0,1,0,0,4,1,0,0,4,2,1,1,1,1,0,1,4,2,1,2,2,7,5,0,0,1,3,2,1,1,3,0,1,1,3,1,3,4,2,2,2,0,0,0,0,0,4,40,6,105,6,0,3,3,5,4,3,3,4,1,4,3,4,3,2,3,2,3,5,2,4,5,3,1,5,2,6,2,3,5,1,4,0,5,5,7,3,4,6,4,5,7,4,7,6,1,1,1,2.5,5,4,3,3,5,4,3,4,5,5,1,4,4,2,2,4,2,"I think it was very helpful to see the breakdown of the foods I was eating. Specifically it helped me realize that I often don't eat enough protein in my protein:carb:fat ratio. I also found it easy to add food, especially if what I was eating had a barcode.","I would enhance the exercise feature or perhaps add a way to sync data tracked on fitness watches. Sometimes if I added walking for example. I would write â€œa 2 mile walkâ€ and it would automatically compute it to 40 minutes which isnâ€™t accurate. It would be helpful to be able to put the mileage, pace and time of your walk/run. Additionally the app wasnâ€™t too helpful in tracking other exercises. So again, I think it would be useful to be able to export or write in your data instead of only being able to name the exercise completed. ",,4,5,3,5,2,3,3,4,3,4,5,2,4,4,4,4,4,3,1,1,1,3,3,4,4,4,1,10,1,0,0,0,4,3,1,0,0,5,2,1,1,1,3,0,,3,30,5,60,6,45,5,4,5,3,3,3,4,3,1,2,4,5,2,1,4,4,3,3,3,3,2,1,6,3,3,3,4,3,4,1,3,3,7,4,3,6,5,5,5,3,4,6,180,100,60
5,1,4/15/2022,3,m1,3:55:00 PM,4,1,0,0,0,0,1,5,0,1,2,7.88,0.004,0,0.76,1.96,0,1.258,0,0.1,0.06,0,0,0,0.1,2,2,0,21,3,180,65,29.95029586,0,0,3,0,0,0,0,1,0,0,4,1,0,0,4,2,1,1,1,1,0,1,4,2,1,2,2,7,5,0,0,1,3,2,1,1,3,0,1,1,3,1,3,4,2,2,2,0,0,0,0,0,4,40,6,105,6,0,3,3,5,4,3,3,4,1,4,3,4,3,2,3,2,3,5,2,4,5,3,1,5,2,6,2,3,5,1,4,0,5,5,7,3,4,6,4,5,7,4,7,6,1,1,1,2.5,5,4,3,3,5,4,3,4,5,5,1,4,4,2,2,4,2,"I think it was very helpful to see the breakdown of the foods I was eating. Specifically it helped me realize that I often don't eat enough protein in my protein:carb:fat ratio. I also found it easy to add food, especially if what I was eating had a barcode.","I would enhance the exercise feature or perhaps add a way to sync data tracked on fitness watches. Sometimes if I added walking for example. I would write â€œa 2 mile walkâ€ and it would automatically compute it to 40 minutes which isnâ€™t accurate. It would be helpful to be able to put the mileage, pace and time of your walk/run. Additionally the app wasnâ€™t too helpful in tracking other exercises. So again, I think it would be useful to be able to export or write in your data instead of only being able to name the exercise completed. ",,4,5,3,5,2,3,3,4,3,4,5,2,4,4,4,4,4,3,1,1,1,3,3,4,4,4,1,10,1,0,0,0,4,3,1,0,0,5,2,1,1,1,3,0,,3,30,5,60,6,45,5,4,5,3,3,3,4,3,1,2,4,5,2,1,4,4,3,3,3,3,2,1,6,3,3,3,4,3,4,1,3,3,7,4,3,6,5,5,5,3,4,6,180,7.876,0.004
6,1,4/15/2022,3,m2,6:00:00 PM,4,10,9,3,0,0,1,5,0,5,287.9,139.1078,0.2991,0.1867,9.5023,33.7782,0.2258,11.2372,0.5806,52.698,18.2564,1,0.4,3.1,3.8,2,2,0,21,3,180,65,29.95029586,0,0,3,0,0,0,0,1,0,0,4,1,0,0,4,2,1,1,1,1,0,1,4,2,1,2,2,7,5,0,0,1,3,2,1,1,3,0,1,1,3,1,3,4,2,2,2,0,0,0,0,0,4,40,6,105,6,0,3,3,5,4,3,3,4,1,4,3,4,3,2,3,2,3,5,2,4,5,3,1,5,2,6,2,3,5,1,4,0,5,5,7,3,4,6,4,5,7,4,7,6,1,1,1,2.5,5,4,3,3,5,4,3,4,5,5,1,4,4,2,2,4,2,"I think it was very helpful to see the breakdown of the foods I was eating. Specifically it helped me realize that I often don't eat enough protein in my protein:carb:fat ratio. I also found it easy to add food, especially if what I was eating had a barcode.","I would enhance the exercise feature or perhaps add a way to sync data tracked on fitness watches. Sometimes if I added walking for example. I would write â€œa 2 mile walkâ€ and it would automatically compute it to 40 minutes which isnâ€™t accurate. It would be helpful to be able to put the mileage, pace and time of your walk/run. Additionally the app wasnâ€™t too helpful in tracking other exercises. So again, I think it would be useful to be able to export or write in your data instead of only being able to name the exercise completed. ",,4,5,3,5,2,3,3,4,3,4,5,2,4,4,4,4,4,3,1,1,1,3,3,4,4,4,1,10,1,0,0,0,4,3,1,0,0,5,2,1,1,1,3,0,,3,30,5,60,6,45,5,4,5,3,3,3,4,3,1,2,4,5,2,1,4,4,3,3,3,3,2,1,6,3,3,3,4,3,4,1,3,3,7,4,3,6,5,5,5,3,4,6,180,140.1271,1.0193
7,1,4/15/2022,3,m3,8:12:00 PM,5,5,3,1,0,0,2,5,0,5,199.52,304.8027,16.5772,7.2635,707.7883,27.8056,1.7752,1.4612,10.716,504.9931,173.0693,16,2.4,6,9.1,2,2,0,21,3,180,65,29.95029586,0,0,3,0,0,0,0,1,0,0,4,1,0,0,4,2,1,1,1,1,0,1,4,2,1,2,2,7,5,0,0,1,3,2,1,1,3,0,1,1,3,1,3,4,2,2,2,0,0,0,0,0,4,40,6,105,6,0,3,3,5,4,3,3,4,1,4,3,4,3,2,3,2,3,5,2,4,5,3,1,5,2,6,2,3,5,1,4,0,5,5,7,3,4,6,4,5,7,4,7,6,1,1,1,2.5,5,4,3,3,5,4,3,4,5,5,1,4,4,2,2,4,2,"I think it was very helpful to see the breakdown of the foods I was eating. Specifically it helped me realize that I often don't eat enough protein in my protein:carb:fat ratio. I also found it easy to add food, especially if what I was eating had a barcode.","I would enhance the exercise feature or perhaps add a way to sync data tracked on fitness watches. Sometimes if I added walking for example. I would write â€œa 2 mile walkâ€ and it would automatically compute it to 40 minutes which isnâ€™t accurate. It would be helpful to be able to put the mileage, pace and time of your walk/run. Additionally the app wasnâ€™t too helpful in tracking other exercises. So again, I think it would be useful to be able to export or write in your data instead of only being able to name the exercise completed. ",,4,5,3,5,2,3,3,4,3,4,5,2,4,4,4,4,4,3,1,1,1,3,3,4,4,4,1,10,1,0,0,0,4,3,1,0,0,5,2,1,1,1,3,0,,3,30,5,60,6,45,5,4,5,3,3,3,4,3,1,2,4,5,2,1,4,4,3,3,3,3,2,1,6,3,3,3,4,3,4,1,3,3,7,4,3,6,5,5,5,3,4,6,180,303.2812,1.5215
8,1,4/16/2022,3,m1,6:15:00 PM,4,10,0,0,0,0,1,4,0,1,30,147.6,7.416,2.4273,93.3,19.608,0.6,9.87,1.53,51.3,32.7,0,0,0.8,15,2,2,0,21,3,180,65,29.95029586,0,0,3,0,0,0,0,1,0,0,4,1,0,0,4,2,1,1,1,1,0,1,4,2,1,2,2,7,5,0,0,1,3,2,1,1,3,0,1,1,3,1,3,4,2,2,2,0,0,0,0,0,4,40,6,105,6,0,3,3,5,4,3,3,4,1,4,3,4,3,2,3,2,3,5,2,4,5,3,1,5,2,6,2,3,5,1,4,0,5,5,7,3,4,6,4,5,7,4,7,6,1,1,1,2.5,5,4,3,3,5,4,3,4,5,5,1,4,4,2,2,4,2,"I think it was very helpful to see the breakdown of the foods I was eating. Specifically it helped me realize that I often don't eat enough protein in my protein:carb:fat ratio. I also found it easy to add food, especially if what I was eating had a barcode.","I would enhance the exercise feature or perhaps add a way to sync data tracked on fitness watches. Sometimes if I added walking for example. I would write â€œa 2 mile walkâ€ and it would automatically compute it to 40 minutes which isnâ€™t accurate. It would be helpful to be able to put the mileage, pace and time of your walk/run. Additionally the app wasnâ€™t too helpful in tracking other exercises. So again, I think it would be useful to be able to export or write in your data instead of only being able to name the exercise completed. ",,4,5,3,5,2,3,3,4,3,4,5,2,4,4,4,4,4,3,1,1,1,3,3,4,4,4,1,10,1,0,0,0,4,3,1,0,0,5,2,1,1,1,3,0,,3,30,5,60,6,45,5,4,5,3,3,3,4,3,1,2,4,5,2,1,4,4,3,3,3,3,2,1,6,3,3,3,4,3,4,1,3,3,7,4,3,6,5,5,5,3,4,6,180,151.296,3.696
9,1,4/16/2022,3,m2,7:00:00 PM,4,10,2,1,0,0,1,5,0,4,128.94,296.6078,12.446,1.1188,539.826,38.557,1.7438,1.7634,7.4994,137.3642,77.6036,37,34,4.7,22,2,2,0,21,3,180,65,29.95029586,0,0,3,0,0,0,0,1,0,0,4,1,0,0,4,2,1,1,1,1,0,1,4,2,1,2,2,7,5,0,0,1,3,2,1,1,3,0,1,1,3,1,3,4,2,2,2,0,0,0,0,0,4,40,6,105,6,0,3,3,5,4,3,3,4,1,4,3,4,3,2,3,2,3,5,2,4,5,3,1,5,2,6,2,3,5,1,4,0,5,5,7,3,4,6,4,5,7,4,7,6,1,1,1,2.5,5,4,3,3,5,4,3,4,5,5,1,4,4,2,2,4,2,"I think it was very helpful to see the breakdown of the foods I was eating. Specifically it helped me realize that I often don't eat enough protein in my protein:carb:fat ratio. I also found it easy to add food, especially if what I was eating had a barcode.","I would enhance the exercise feature or perhaps add a way to sync data tracked on fitness watches. Sometimes if I added walking for example. I would write â€œa 2 mile walkâ€ and it would automatically compute it to 40 minutes which isnâ€™t accurate. It would be helpful to be able to put the mileage, pace and time of your walk/run. Additionally the app wasnâ€™t too helpful in tracking other exercises. So again, I think it would be useful to be able to export or write in your data instead of only being able to name the exercise completed. ",,4,5,3,5,2,3,3,4,3,4,5,2,4,4,4,4,4,3,1,1,1,3,3,4,4,4,1,10,1,0,0,0,4,3,1,0,0,5,2,1,1,1,3,0,,3,30,5,60,6,45,5,4,5,3,3,3,4,3,1,2,4,5,2,1,4,4,3,3,3,3,2,1,6,3,3,3,4,3,4,1,3,3,7,4,3,6,5,5,5,3,4,6,180,296.2396,0.3682
