USERID,gender,date,noMeals,mealNo,Time,mealType,Where,noPeople,Who,Who2,Who3,AmoFo,Mood,Stress,Serving Weight Grams,Calories,Fat (g),Saturated Fat (g),Sodium (mg),Total Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Vitamin A (%DV)
1,2,4/13/2022,2,m1,5:45:00 PM,3,1,0,0,0,0,1,5,0,88.5,377.305,19.812,8.2488,313.105,43.1623,3.1795,18.0245,7.9263,16
1,2,4/13/2022,2,m2,9:40:00 PM,5,1,0,0,0,0,2,3,2,367.25,599.03178,34.40398,7.26697,336.86758,50.18035,9.71593,6.9408,25.94335,113.7
1,2,4/14/2022,3,m1,5:20:00 PM,4,9,5,9,0,0,3,5,2,28,106.7255,4.5525,3.905,66.5105,15.2821,1.2394,11.8609,1.6754,1.1
1,2,4/14/2022,3,m2,6:35:00 PM,5,1,0,0,0,0,1,5,0,464.73,767.2123,49.3439,7.3602,817.5209,71.9298,8.2605,19.4149,11.9813,113.7
1,2,4/14/2022,3,m3,9:36:00 PM,6,1,1,1,0,0,3,4,1,0,160,0,0,10,25,0,10,0,0
1,2,4/15/2022,3,m1,3:55:00 PM,4,1,0,0,0,0,1,5,0,2,7.88,0.004,0,0.76,1.96,0,1.258,0,0
1,2,4/15/2022,3,m2,6:00:00 PM,4,10,9,3,0,0,1,5,0,287.9,139.1078,0.2991,0.1867,9.5023,33.7782,0.2258,11.2372,0.5806,1
1,2,4/15/2022,3,m3,8:12:00 PM,5,5,3,1,0,0,2,5,0,199.52,304.8027,16.5772,7.2635,707.7883,27.8056,1.7752,1.4612,10.716,16
1,2,4/16/2022,3,m1,6:15:00 PM,4,10,0,0,0,0,1,4,0,30,147.6,7.416,2.4273,93.3,19.608,0.6,9.87,1.53,0
1,2,4/16/2022,3,m2,7:00:00 PM,4,10,2,1,0,0,1,5,0,128.94,296.6078,12.446,1.1188,539.826,38.557,1.7438,1.7634,7.4994,37
1,2,4/16/2022,3,m3,7:00:00 PM,4,10,2,2,0,0,1,5,0,171,473.67,27.7533,6.3834,687.42,37.0386,2.565,2.8215,18.8271,1
1,2,4/17/2022,3,m1,3:11:00 PM,3,10,1,1,0,0,2,5,0,211.69,319.6791,12.8497,1.1291,2298.7897,31.0471,2.021,0.7558,19.8381,7.8
1,2,4/17/2022,3,m2,5:00:00 PM,4,10,0,0,0,0,1,5,0,35,137.6123,5.0319,2.858,114.9744,21.9108,1.036,12.5987,1.9824,4.6
1,2,4/17/2022,3,m3,8:34:00 PM,5,10,0,0,0,0,2,5,0,474.33,486.0133,28.5475,4.7882,570.3211,34.9102,12.028,5.7192,26.3535,105.1
1,2,4/18/2022,2,m1,4:00:00 PM,3,1,0,0,0,0,1,1,8,57,170,4.5,0.5,230,28,1,7,5,0
1,2,4/18/2022,2,m2,8:15:00 PM,5,10,15,1,3,0,3,1,8,100,261.4983,17.2414,7.1096,423.2966,23.9056,2.0846,1.5911,3.4869,39
1,2,4/19/2022,2,m1,1:50:00 PM,4,1,0,0,0,0,1,5,0,105,312,15.066,2.1267,375,39.075,6.03,0.351,7.935,0.7
1,2,4/19/2022,2,m2,7:30:00 PM,5,5,4,1,0,0,2,5,0,475.79,1020.77918,58.38896,23.83226,1629.53746,35.89891,0.87582,18.00741,85.79364,10.4
1,2,4/20/2022,1,m1,2:00:00 PM,3,1,0,0,0,0,1,3,7,208,500,18,6,890,58,3,3,28,0
1,2,4/21/2022,2,m1,3:00:00 PM,3,10,16,1,3,0,2,2,3,322.49,713.1737,40.5306,11.6244,1615.8952,51.1984,5.724,3.0689,33.88,47.2
1,2,4/21/2022,2,m2,9:15:00 PM,5,1,0,0,0,0,1,3,3,166.5,348.8633,20.3249,4.1508,792.2146,14.428,2.0618,3.0037,26.6022,11
1,2,4/22/2022,2,m1,2:00:00 PM,4,1,0,0,0,0,1,3,0,28,140,7,0.5,140,18,1,1,2,0
1,2,4/22/2022,2,m2,11:45:00 PM,5,1,0,0,0,0,1,3,0,359.85,747.1445,31.3025,2.8221,1536.315,97.2925,4.9595,4.806,19.161,94.1
1,2,4/23/2022,2,m1,3:30:00 PM,3,1,0,0,0,0,1,2,8,257.88,593.2156,24.892,2.2376,1079.652,77.114,3.4876,3.5268,14.9988,75
1,2,4/23/2022,2,m2,11:30:00 PM,5,1,0,0,0,0,2,3,4,492.5,511.275,22.9345,8.7946,1468.15,48.9856,5.935,3.7509,29.8891,632.6
1,2,4/24/2022,2,m1,6:30:00 PM,4,1,1,3,0,0,2,4,3,529.85,588.6617,22.4487,10.2801,184.2535,92.6673,2.3387,36.8558,6.8709,1.5
1,2,4/24/2022,2,m2,10:00:00 PM,5,1,1,3,0,0,1,3,3,362.5,557.0028,11.6921,2.0626,282.0281,48.5926,1.6365,1.7759,34.6716,2.9
1,2,4/25/2022,3,m1,5:20:00 PM,4,1,1,3,0,0,2,4,4,98,380,22,10,170,42,2,20,6,0
1,2,4/25/2022,3,m2,7:45:00 PM,4,1,0,0,0,0,2,4,2,0,180,5,1,180,32,4,7,3,0
1,2,4/25/2022,3,m3,10:27:00 PM,5,1,0,0,0,0,2,4,3,452,1036.025,60.5604,14.285,2382.745,108.1735,17.9815,10.2292,25.6353,80.7
